Episode,Loss,Reward,Quality,Rebuffer,Switch
0,5.12097464,4702.06,399.03,5.0786,2.7000
1,4.17313250,7530.69,407.91,4.2883,0.0000
2,3.32495156,4392.13,412.80,5.4160,0.0000
3,3.31121710,5705.77,425.40,5.1881,0.0000
4,2.99969176,5535.93,415.42,5.0783,0.0000
5,2.26047038,3739.94,409.29,5.5749,0.0000
6,1.97645104,2410.82,418.49,6.1712,0.0000
7,1.92492669,7047.25,412.28,4.5223,0.0000
8,2.42952228,3106.00,413.83,5.8618,0.0000
9,1.60677162,147.47,421.77,6.9804,0.0000
10,1.82485268,702.31,417.82,6.7296,0.0000
11,1.88767465,4108.41,409.81,5.4606,0.0000
12,1.95527014,2721.64,415.72,6.0214,0.0000
13,1.73868708,3422.21,412.76,5.7385,0.0000
14,1.65378159,5910.34,414.09,4.9314,0.0000
15,1.64412431,9778.66,411.20,3.5938,0.0000
16,1.56145319,4889.79,412.06,5.2378,0.0000
17,1.48530206,5418.06,418.86,5.1749,0.0000
18,1.55212897,-476.59,422.22,7.1959,0.0000
19,1.49620200,3762.47,421.14,5.7648,0.0000
20,1.51053624,4439.33,415.63,5.4472,0.0750
21,1.33475956,11057.29,413.72,3.2096,0.0000
22,1.21824292,9812.54,417.14,3.6814,0.0000
23,1.65996911,1665.95,423.41,6.5015,0.0500
24,1.47004103,2542.24,415.19,6.0722,0.1250
25,1.54312687,-1026.71,413.87,7.2399,0.1250
26,1.74394512,2803.77,417.63,6.0257,0.1500
27,1.55978724,7895.11,418.94,4.3505,0.1500
28,1.62742641,-1946.44,423.90,7.7137,0.0250
29,1.75478142,3653.74,410.86,5.6297,0.1000
30,1.42106984,7753.55,410.59,4.2584,0.1250
31,1.43603006,4211.16,413.33,5.4844,0.4250
32,1.23201062,2883.49,415.19,5.9584,0.1750
33,1.34559958,9710.83,422.59,3.8055,0.4250
34,1.40197862,1581.65,416.68,6.4171,0.2500
35,1.49618250,5943.84,415.17,4.9376,0.4000
36,1.52367326,-1702.35,417.65,7.5279,0.2000
